"country","epiRank","epi2020","10yrChange","usn2021rank","ints2020rank","pop2022"
"Denmark","1","82.5000","7.3000","6","6","5834.9500"
"Luxembourg","2","82.3000","11.6000","","10","642.3710"
"Switzerland","3","81.5000","8.6000","2","5","8773.6370"
"United Kingdom","4","81.3000","9","18","28","68497.9070"
"France","5","80","5.8000","17","17","65584.5180"
"Austria","6","79.6000","5.4000","14","4","9066.7100"
"Finland","7","78.9000","6","5","1","5554.9600"
"Sweden","8","78.7000","5.3000","1","2","10218.9710"
"Norway","9","77.7000","7.6000","3","3","5511.3700"
"Germany","10","77.2000","1.2000","8","8","83883.5960"
"Netherlands","11","75.3000","1.5000","10","12","17211.4470"
"Japan","12","75.1000","-0.5000","4","25","125584.8380"
"Australia","13","74.9000","5.5000","11","18","26068.7920"
"Spain","14","74.3000","8.6000","24","20","46719.1420"
"Belgium","15","73.3000","2.1000","15","27","11668.2780"
"Ireland","16","72.8000","2.9000","16","26","5020.1990"
"Iceland","17","72.3000","0.4000","","","345.3930"
"Slovenia","18","72","4.6000","43","","2078.0340"
"New Zealand","19","71.3000","1.8000","7","7","4898.2030"
"Italy","20","71","1.1000","23","32","60262.7700"
"Canada","20","71","3.7000","9","9","38388.4190"
"Czech Republic","20","71","4","35","16","10736.7840"
"Malta","23","70.7000","11.6000","","52","444.0330"
"United States","24","69.3000","2.9000","20","30","334805.2690"
"Greece","25","69.1000","3.4000","29","45","10316.6370"
"Slovakia","26","68.3000","3.9000","42","","5460.1930"
"Portugal","27","67","4","26","13","10140.5700"
"South Korea","28","66.5000","2.2000","12","41","51329.8990"
"Israel","29","65.8000","5.2000","21","23","8922.8920"
"Estonia","30","65.3000","4.3000","30","14","1321.9100"
"Cyprus","31","64.8000","6.3000","","44","1223.3870"
"Romania","32","64.7000","8.1000","59","","19031.3350"
"Hungary","33","63.7000","3.3000","31","35","9606.2590"
"Croatia","34","63.1000","13.4000","39","","4059.2860"
"Lithuania","35","62.9000","5.2000","37","","2661.7080"
"Latvia","36","61.6000","5","33","","1848.8370"
"Poland","37","60.9000","1.1000","27","36","37739.7850"
"Seychelles","38","58.2000","14.8000","","","99.4260"
"Singapore","39","58.1000","-8.4000","13","19","5943.5460"
"Taiwan","40","57.2000","4.6000","","11","23888.5950"
"Bulgaria","41","57","4.2000","34","","6844.5970"
"United Arab Emirates","42","55.6000","11.3000","22","22","10081.7850"
"North Macedonia","43","55.4000","2.2000","","","2081.3040"
"Chile","44","55.3000","3.7000","48","39","19250.1950"
"Serbia","45","55.2000","7","70","","8653.0160"
"Brunei","46","54.8000","2","","","445.4310"
"Kuwait","47","53.6000","12.8000","","59","4380.3260"
"Jordan","48","53.4000","11.2000","60","","10300.8690"
"Belarus","49","53","2.3000","47","","9432.8000"
"Colombia","50","52.9000","0.9000","67","33","51512.7620"
"Mexico","51","52.6000","7.4000","73","43","131562.7720"
"Costa Rica","52","52.5000","1","45","15","5182.3540"
"Armenia","53","52.3000","4.5000","","","2971.9660"
"Argentina","54","52.2000","5","51","38","46010.2340"
"Brazil","55","51.2000","4.9000","46","47","215353.5930"
"Ecuador","56","51","3.9000","65","24","18113.3610"
"Bahrain","56","51","17.3000","","29","1783.9830"
"Russia","58","50.5000","3.9000","25","37","145805.9470"
"Venezuela","59","50.3000","-0.5000","","","29266.9910"
"Ukraine","60","49.5000","0.7000","62","","43192.1220"
"Uruguay","61","49.1000","1","50","","3496.0160"
"Albania","62","49","10.2000","","","2866.3740"
"Antigua and Barbuda","63","48.5000","3.3000","","","99.5090"
"Cuba","64","48.4000","0.8000","","","11305.6520"
